TICKER,DATE,CLOSE,OPEN,HIGH,LOW,VOLUME
VN30-IDX,20170525,665.46,663.13,667.67,662.82,33808990
VN30-IDX,20170524,662.67,663.86,664.49,659.95,39744180
VN30-IDX,20170523,663.49,664.59,667.49,663.49,58262100
VN30-IDX,20170522,664.3,662.3,666.66,662.04,65376570
VN30-IDX,20170521,662.48,659.64,665.2,658.54,41605219
VN30-IDX,20170520,659.9,658.21,659.9,656.36,49914520
VN30-IDX,20170519,658.61,657.26,660.79,657.26,45661953
VN30-IDX,20170518,656.77,654.36,657.41,650.59,41543540
VN30-IDX,20170517,653.76,655.94,658.71,653.76,44574400
VN30-IDX,20170516,655.99,656.69,657.64,649.45,52804790
VN30-IDX,20170515,657.95,667.17,667.7,657.95,40583080
VN30-IDX,20170514,666.22,659.63,666.64,659.63,55414620
VN30-IDX,20170513,661.81,667.27,668.3,661.37,68537600
VN30-IDX,20170512,667.42,668.69,670.97,662.06,58469942
VN30-IDX,20170511,668.61,671.96,672.43,666.49,69787356
VN30-IDX,20170510,671.52,668.3,673.77,668.3,64496390
VN30-IDX,20170509,667.56,664.9,669.5,663.11,70848110
VN30-IDX,20170508,668.1,667.09,668.76,664.49,58861960
VN30-IDX,20170507,667.72,670.49,676.65,667.47,78250720
VN30-IDX,20170506,669.08,663.58,670.06,663.58,55199340
VN30-IDX,20170505,663.43,664.11,665.24,660.57,56285362
VN30-IDX,20170504,662.68,660.03,662.83,659.32,47476720
VN30-IDX,20170503,658.78,659.12,659.81,657.65,48041880
VN30-IDX,20170502,658.83,658.4,660.08,657.65,56808292
VN30-IDX,20170501,657.97,657.62,657.97,655.12,45312347
VN30-IDX,20170430,656.48,654.24,657.42,653.88,54415797
VN30-IDX,20170429,654.03,652.5,654.03,649.35,37891682
VN30-IDX,20170428,651.18,656.27,657.63,651.18,44587710
VN30-IDX,20170427,652.98,645.72,652.98,645.72,37214480
VN30-IDX,20170426,644.79,640.92,644.79,639.43,38334229
VN30-IDX,20170425,639.32,635.31,640.18,635.31,34711470
VN30-IDX,20170424,635.42,634.81,637.14,634.81,35318539
VN30-IDX,20170423,634.28,632.17,636.39,632.17,35854530
VN30-IDX,20170422,631,632.31,634,630.48,33900640
VN30-IDX,20170421,633.1,637.09,638.72,633.1,42058670
VN30-IDX,20170420,637.54,633.42,637.54,632.7,51330770
VN30-IDX,20170419,632.7,639.59,640.52,632.7,41112420
VN30-IDX,20170418,640.07,642.21,643.85,640.07,42314478
VN30-IDX,20170417,642.25,644.53,645.14,641.71,58107000
VN30-IDX,20170416,643.39,639.56,643.39,639.52,50310972
VN30-IDX,20170415,639.36,639,640.86,638.61,42153480
VN30-IDX,20170414,638.4,636.82,640.02,636.82,55054032
VN30-IDX,20170413,636.34,634.56,640.74,634.26,69771960
VN30-IDX,20170412,634.83,633.61,635.33,632.46,50348862
VN30-IDX,20170411,632.7,632.8,635.39,630.46,52288190
VN30-IDX,20170410,633.89,627.65,634.18,627.58,42886270
VN30-IDX,20170409,628.21,625.8,628.21,625.18,46755430
VN30-IDX,20170408,626.95,627.82,627.94,626.3,45339320
VN30-IDX,20170407,624.83,625.55,626.44,623.24,50198868
VN30-IDX,20170406,623.46,622.05,624.17,621.77,57507575
VN30-IDX,20170405,621.73,622.91,624.52,621.71,47420035
VN30-IDX,20170404,620.75,617.58,620.75,615.74,50518470
VN30-IDX,20170403,618.35,619.99,621.87,617.15,42899055
VN30-IDX,20170402,618.43,616.72,620.28,614.13,40778350
VN30-IDX,20170401,616.74,622.59,622.62,615.95,37017705
VN30-IDX,20170331,623.85,622.19,626.78,622.19,47470570
VN30-IDX,20170330,621.04,613.31,621.04,613.27,103804220
VN30-IDX,20170329,613.25,614.83,615.72,610.64,60090414
VN30-IDX,20170328,615.26,607,615.26,606.55,57303640
VN30-IDX,20170327,606.71,612.52,612.74,606.07,56730860
VN30-IDX,20170326,612.83,616.5,617.89,612.24,52766030
VN30-IDX,20170325,619.64,620.48,621.86,617.29,34495110
VN30-IDX,20170324,619.45,619.03,620.23,615,40242480
VN30-IDX,20170323,615,614.64,617.22,614.1,70504795
VN30-IDX,20170322,616.26,625.68,626.15,614.23,59023110
VN30-IDX,20170321,625.32,628.6,629.85,625.32,49451091
VN30-IDX,20170320,629.64,631.81,632.3,628.68,70242487
VN30-IDX,20170319,631.55,633.63,636.43,631.55,60625410
VN30-IDX,20170318,631.89,626.68,632.9,622.12,67128510
VN30-IDX,20170317,625.78,631.22,632.89,623.32,57622990
VN30-IDX,20170316,630.62,640.58,640.75,628.48,42236760
VN30-IDX,20170315,643.38,648.82,648.82,641.7,52256340
VN30-IDX,20170314,647.47,650.52,651.55,645.36,58914966
VN30-IDX,20170313,647.59,643.82,649.65,643.6,47906920
VN30-IDX,20170312,643.76,638.29,643.8,638.29,53410470
VN30-IDX,20170311,638.87,635.82,638.87,634.43,49149070
VN30-IDX,20170310,634.35,635.63,636.61,632.45,44574480
VN30-IDX,20170309,636.02,638.7,639.16,635.32,62890250
VN30-IDX,20170308,638.72,638,641.21,637.99,52149390
VN30-IDX,20170307,637.51,636.01,639.38,635.2,53470629
VN30-IDX,20170306,634.13,640.06,642.24,634.13,62048909
VN30-IDX,20170305,642,641.8,642.9,639.88,53372303
VN30-IDX,20170304,641.9,640.96,642.88,639.68,55452669
VN30-IDX,20170303,635.42,641.84,641.84,620.35,78463470
VN30-IDX,20170302,642.01,640,643.43,640,44774070
VN30-IDX,20170301,639.91,633.03,639.98,632.63,53006542
VN30-IDX,20170228,632.54,632.39,634.5,631.8,38767795
VN30-IDX,20170227,632.81,634.28,634.28,627.9,72936135
VN30-IDX,20170226,636.54,641.56,642.87,636.54,81168592
VN30-IDX,20170225,643.05,643.26,644.7,641.4,60042540
VN30-IDX,20170224,644.22,649.28,649.28,644.22,66220297
VN30-IDX,20170223,649.27,643.66,649.31,642.82,54323340
VN30-IDX,20170222,644.18,641.42,644.18,640.13,42273922
VN30-IDX,20170221,641.81,643.57,645.25,639.07,40456885
VN30-IDX,20170220,644.91,645.32,646.97,640.03,57905879
VN30-IDX,20170219,648.29,654.17,654.17,648.29,46607299
VN30-IDX,20170218,655.17,657.38,658.77,653.71,49539287
VN30-IDX,20170217,657.15,661.11,661.2,655.75,59846979
VN30-IDX,20170216,659.39,654.45,660.77,654.45,77569600
VN30-IDX,20170215,653.32,649.08,653.87,647.77,63293460
VN30-IDX,20170214,650.46,657.08,657.81,650.46,48262270
VN30-IDX,20170213,657.59,656.92,662.05,656.89,78563431
VN30-IDX,20170212,658.29,651.64,658.49,649.63,54456330
VN30-IDX,20170211,653.25,655.03,658.02,652.71,50572200
VN30-IDX,20170210,654.88,649.08,654.88,641.45,72022976
VN30-IDX,20170209,647.25,657.58,657.92,647.17,55713920
VN30-IDX,20170208,657.54,665.31,666.33,654.05,55753190
VN30-IDX,20170207,663.12,665.23,667.15,663.12,74609993
VN30-IDX,20170206,663.95,663.56,665.98,661.76,55139590
VN30-IDX,20170205,661.89,661.77,665.53,657.44,55633810
VN30-IDX,20170204,662.42,668.47,670.52,660.29,60248420
VN30-IDX,20170203,668.44,669.34,670.55,665.65,52620270
VN30-IDX,20170202,670.3,671.39,674.11,668.34,50409700
VN30-IDX,20170201,669.17,670.32,672.92,667.72,56045158
VN30-IDX,20170131,671.21,665.3,671.21,664.47,65243450
VN30-IDX,20170130,666.1,662.79,666.9,661.71,59430141
VN30-IDX,20170129,664.31,662.23,664.31,660.85,69759194
VN30-IDX,20170128,662.31,659.65,665.27,659.36,56594760
VN30-IDX,20170127,657.44,653.67,658.05,652.62,73000820
VN30-IDX,20170126,653.66,648.77,653.66,643.6,59487570
VN30-IDX,20170125,648.83,646.47,648.83,644.23,52715110
VN30-IDX,20170124,639.37,642.29,645.72,639.37,124133450
VN30-IDX,20170123,645.02,646.37,649.97,644.08,45951500
VN30-IDX,20170122,646.93,651.15,652.5,646.93,44706030
VN30-IDX,20170121,651.8,650.41,653.85,647.33,39096623
VN30-IDX,20170120,651.63,657.61,657.61,646.87,45050938
VN30-IDX,20170119,658.66,662.04,663.68,657.64,48605546
VN30-IDX,20170118,659.25,654.53,661.54,654.38,59949430
VN30-IDX,20170117,654.79,655.19,655.75,647.47,42238570
VN30-IDX,20170116,656.02,656.06,659.27,656.02,50182654
VN30-IDX,20170115,655.08,660.24,661.13,652.13,53481330
VN30-IDX,20170114,659.09,665.2,665.2,655.28,42526628
VN30-IDX,20170113,665.25,662.41,666.7,661.32,49948570
VN30-IDX,20170112,661.2,655.39,661.2,654.66,38966900
VN30-IDX,20170111,656.23,660.07,666.02,656.23,46673020
VN30-IDX,20170110,656.71,652.64,659.34,652.64,50271730
VN30-IDX,20170109,649.06,649.51,650.69,646.71,46888574
VN30-IDX,20170108,650.95,651.83,656.93,650.21,39441740
VN30-IDX,20170107,650.92,643.9,651.19,642.5,47351190
VN30-IDX,20170106,647.46,654.43,655.33,647.46,54790920
VN30-IDX,20170105,654.42,657.39,659.43,653.67,51050685
VN30-IDX,20170104,652.87,653.36,656.33,646.59,57331149
VN30-IDX,20170103,650.82,648.34,650.98,645.53,54679850
VN30-IDX,20170102,646.44,647.15,650.45,645.48,78224250
VN30-IDX,20170101,645.66,640.59,645.69,639.08,57965610
VN30-IDX,20161231,641.11,650.55,652.87,638.1,58420640
VN30-IDX,20161230,645.1,634.27,645.1,633.95,67330260
VN30-IDX,20161229,632.86,621.18,633.39,621.18,50914560
