TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
VN-IDX,20170928,803.1,810.35,803.1,804.82,161241440
HNX-IDX,20170928,107.5162,110.1298,106.8436,107.4265,58076516
VN-IDX,20170927,803.32,805.35,801.74,803.77,141825470
HNX-IDX,20170927,107.9061,107.941,107.2788,107.5162,50161982
VN-IDX,20170926,806.4,806.84,801.66,805.35,155345720
HNX-IDX,20170926,107.3372,108.0507,106.8468,107.9061,66493376
VN-IDX,20170925,806.9,807.64,802.23,805.58,125846590
HNX-IDX,20170925,106.5168,107.5235,106.4565,107.3372,62363250
VN-IDX,20170922,805.15,808.16,803.93,807.13,150114240
HNX-IDX,20170922,105.7511,106.6379,105.6843,106.5168,70852583
VN-IDX,20170921,805.29,806.52,802.6,803.93,130720110
HNX-IDX,20170921,105.1797,105.9365,105.1742,105.7511,72745759
VN-IDX,20170920,806.88,807.51,803.33,805.86,137382510
HNX-IDX,20170920,104.7282,105.3214,104.6928,105.1797,55862737
VN-IDX,20170919,807.87,810.13,805.87,805.93,159954080
HNX-IDX,20170919,105.1329,105.9004,104.6473,104.7282,53209095
VN-IDX,20170918,808.51,809.39,805.37,807.87,167565130
HNX-IDX,20170918,104.4856,105.4313,104.3744,105.1329,70858808
VN-IDX,20170915,803.35,806.32,802.08,805.82,141735180
HNX-IDX,20170915,104.3826,104.6828,103.8524,104.4856,52304925
VN-IDX,20170914,803.34,807.29,802.78,806.32,139259690
HNX-IDX,20170914,104.432,104.9018,104.1462,104.3826,66780091
VN-IDX,20170913,802.85,804.38,799.94,802.78,138666280
HNX-IDX,20170913,103.7232,104.6881,103.7271,104.432,33606707
VN-IDX,20170912,795.53,801.01,794.88,799.94,133441200
HNX-IDX,20170912,102.8875,103.8155,102.8246,103.7232,34817323
VN-IDX,20170911,801.2,805.44,797.47,797.47,138921010
VN-IDX,20170908,797.98,802.9,796.72,801.2,120507550
HNX-IDX,20170908,104.6101,104.7977,103.6446,103.9159,40544277
VN-IDX,20170907,793.61,798.58,792.77,796.72,143363910
HNX-IDX,20170907,104.5001,105.137,104.3102,104.6101,34370239
VN-IDX,20170906,792.16,793.82,788.89,793.55,143932540
VN-IDX,20170905,790.26,794.46,787.8,792.31,152939790
HNX-IDX,20170905,103.8054,104.5171,103.742,104.3834,35505259
VN-IDX,20170901,784.42,789.19,782.76,788.73,137790430
HNX-IDX,20170901,103.882,104.3517,103.2817,103.8054,28883996
VN-IDX,20170831,779.19,785.78,778.19,782.76,191480380
HNX-IDX,20170831,103.3377,104.5475,103.4053,103.882,66604746
VN-IDX,20170830,774.31,778.65,773.85,778.65,193385350
HNX-IDX,20170830,103.5185,104.1142,103.1856,103.3377,37952707
VN-IDX,20170829,773.91,777.26,773.87,774.03,255819890
HNX-IDX,20170829,103.9016,104.4495,103.2867,103.5185,47828067
VN-IDX,20170828,771.81,777.26,770.51,777.26,240514120
HNX-IDX,20170828,102.6361,103.9022,102.5834,103.9016,56262694
VN-IDX,20170825,769.07,771.63,768.57,771.63,218161930
HNX-IDX,20170825,102.284,103.2718,102.1224,102.6361,52771843
VN-IDX,20170824,766.48,771.65,764.64,769.77,207977110
HNX-IDX,20170824,101.2792,102.2927,100.8342,102.284,48671018
VN-IDX,20170823,762.42,765.98,759.01,765.98,152298600
HNX-IDX,20170823,100.8702,101.2796,100.3823,101.2792,33184859
VN-IDX,20170822,768.2,768.79,760.3,761.26,144552110
HNX-IDX,20170822,101.1323,101.5542,100.5133,100.8702,42501177
VN-IDX,20170821,767.42,769.71,765.95,768.79,152066140
HNX-IDX,20170821,100.8316,101.7732,100.6664,101.1323,40552322
VN-IDX,20170818,762.82,770.79,762.46,768.97,162030610
HNX-IDX,20170818,100.4932,101.0455,99.9996,100.8316,51255579
VN-IDX,20170817,773.48,774.47,767.59,767.59,220511410
HNX-IDX,20170817,101.7417,102.1001,100.45,100.4932,55630797
VN-IDX,20170816,771.1,773.57,766.8,773.57,155827180
HNX-IDX,20170816,101.3006,101.7625,101.0017,101.7417,39576255
VN-IDX,20170815,776.64,776.83,770.09,771.06,145246450
HNX-IDX,20170815,101.5027,101.9841,101.006,101.3006,44414157
VN-IDX,20170814,770.65,776.42,770.65,776.17,159364310
HNX-IDX,20170814,100.8582,101.5857,100.7624,101.5027,51663879
VN-IDX,20170811,773.43,774.31,769.14,772.08,155683720
HNX-IDX,20170811,100.9663,101.2728,100.4604,100.8582,47048246
VN-IDX,20170810,769.58,776.77,769.58,773.43,177970820
HNX-IDX,20170810,101.0656,101.4943,100.6068,100.9663,64682979
VN-IDX,20170809,789.15,791.57,773.66,773.66,292518130
HNX-IDX,20170809,102.2839,102.555,100.466,101.0656,117320273
VN-IDX,20170808,795.8,796.62,789.84,791.57,213259870
HNX-IDX,20170808,102.404,103.3072,101.931,102.2839,82206107
VN-IDX,20170807,789.41,796.09,788.66,792.98,209975060
HNX-IDX,20170807,101.9375,102.8667,101.9375,102.404,86804887
VN-IDX,20170804,789.46,790.12,786.09,788.68,189384280
HNX-IDX,20170804,101.4372,102.1019,101.2965,101.9375,59548846
VN-IDX,20170803,786.23,790.82,786.19,788.49,195076710
HNX-IDX,20170803,100.9744,101.5052,100.883,101.4372,75067540
VN-IDX,20170802,783.45,788.97,779.81,786.23,194371000
HNX-IDX,20170802,101.3261,101.3611,100.2805,100.9744,73859339
VN-IDX,20170801,784.44,787.68,783.55,786.81,200777410
HNX-IDX,20170801,101.1831,101.8174,101.1005,101.3261,70896840
VN-IDX,20170731,777.54,783.58,776.72,783.55,258572540
HNX-IDX,20170731,100.5544,101.4108,100.5413,101.1831,76013477
VN-IDX,20170728,771.5,777.09,770.82,777.09,176885110
HNX-IDX,20170728,99.6291,100.6667,99.6338,100.5544,77403246
VN-IDX,20170727,773.21,774.97,770.3,771.5,191133410
HNX-IDX,20170727,99.4301,99.858,99.1065,99.6291,62339229
VN-IDX,20170726,769.35,773.88,764.92,773.88,188329880
HNX-IDX,20170726,97.8139,99.4614,97.778,99.4301,70019536
VN-IDX,20170725,757.43,767.27,757.35,767.27,139275580
HNX-IDX,20170725,96.9291,97.8177,96.7322,97.8139,53256627
VN-IDX,20170724,759.97,761.86,753.82,759.74,146634440
HNX-IDX,20170724,97.9588,97.9725,96.6293,96.9291,60137160
VN-IDX,20170721,768.41,770.43,761.86,761.86,162170690
HNX-IDX,20170721,98.6534,99.0727,97.9498,97.9588,54401929
VN-IDX,20170720,768.56,771.3,763.55,768.41,172044210
HNX-IDX,20170720,98.8052,99.0409,97.9242,98.6534,57033346
VN-IDX,20170719,771.33,774.12,767.49,771.3,205221150
HNX-IDX,20170719,98.601,99.4758,98.3036,98.8052,61609674
VN-IDX,20170718,766.88,770.37,762.68,767.49,201030700
HNX-IDX,20170718,98.6362,98.7715,97.902,98.601,51813247
VN-IDX,20170717,777.7,778.3,766.47,768.91,225741190
HNX-IDX,20170717,100.4283,100.5454,98.608,98.6362,76739731
VN-IDX,20170714,779.72,780.65,776.88,777.6,189783920
HNX-IDX,20170714,100.7631,100.8867,100.1309,100.4283,55938689
VN-IDX,20170713,777.12,778.3,773.85,778.3,183197650
HNX-IDX,20170713,100.5595,100.837,100.1372,100.7631,58596505
VN-IDX,20170712,772.6,775.08,769.36,774.17,162235990
HNX-IDX,20170712,100.4192,101.05,100.1533,100.5595,53997880
VN-IDX,20170711,766.56,769.36,761.57,769.36,198919540
